DATABASE_ID,DRUGBANK_ID,DRUG_GROUPS,GENERIC_NAME,SMILES
DB00270,DB00270,approved; investigational,Isradipine,COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC2=NON=C12)C(=O)OC(C)C
DB00271,DB00271,approved; vet_approved,Diatrizoate,CC(=O)NC1=C(I)C(C(O)=O)=C(I)C(NC(C)=O)=C1I
DB00272,DB00272,approved,Betazole,NCCC1=CC=NN1
DB00273,DB00273,approved,Topiramate,[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2
DB00274,DB00274,approved; investigational,Cefmetazole,[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@]2(NC(=O)CSCC#N)OC)C(O)=O
DB00275,DB00275,approved; investigational,Olmesartan,CCCC1=NC(=C(N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1)C(O)=O)C(C)(C)O
DB00276,DB00276,approved; investigational,Amsacrine,COC1=C(NC2=C3C=CC=CC3=NC3=CC=CC=C23)C=CC(NS(C)(=O)=O)=C1
DB00277,DB00277,approved,Theophylline,CN1C2=C(NC=N2)C(=O)N(C)C1=O
DB00278,DB00278,approved; investigational,Argatroban,C[C@@H]1CCN([C@H](C1)C(O)=O)C(=O)[C@H](CCCNC(N)=N)NS(=O)(=O)C1=CC=CC2=C1NCC(C)C2
DB00279,DB00279,approved; vet_approved,Liothyronine,N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O
DB00280,DB00280,approved,Disopyramide,CC(C)N(CCC(C(N)=O)(C1=CC=CC=C1)C1=NC=CC=C1)C(C)C
DB00281,DB00281,approved; vet_approved,Lidocaine,CCN(CC)CC(=O)NC1=C(C)C=CC=C1C
DB00282,DB00282,approved,Pamidronic acid,NCCC(O)(P(O)(O)=O)P(O)(O)=O
DB00283,DB00283,approved; investigational,Clemastine,CN1CCC[C@@H]1CCO[C@](C)(C1=CC=CC=C1)C1=CC=C(Cl)C=C1
DB00284,DB00284,approved; investigational,Acarbose,[H]C(=O)[C@H](O)[C@@H](O)[C@]([H])(O[C@@]1([H])O[C@H](CO)[C@@]([H])(O[C@H]2O[C@H](C)[C@@H](N[C@@]3([H])C=C(CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)[C@H](O)CO
DB00285,DB00285,approved,Venlafaxine,COC1=CC=C(C=C1)C(CN(C)C)C1(O)CCCCC1
DB00287,DB00287,approved,Travoprost,CC(C)OC(=O)CCC\C=C/C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1\C=C\[C@@H](O)COC1=CC=CC(=C1)C(F)(F)F
DB00288,DB00288,approved,Amcinonide,[H][C@@]12C[C@H]3OC4(CCCC4)O[C@@]3(C(=O)COC(C)=O)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C
DB00289,DB00289,approved,Atomoxetine,CNCC[C@@H](OC1=CC=CC=C1C)C1=CC=CC=C1
DB00291,DB00291,approved,Chlorambucil,OC(=O)CCCC1=CC=C(C=C1)N(CCCl)CCCl
DB00292,DB00292,approved,Etomidate,CCOC(=O)C1=CN=CN1[C@H](C)C1=CC=CC=C1
DB00293,DB00293,approved; investigational,Raltitrexed,CN(CC1=CC2=C(NC(C)=NC2=O)C=C1)C1=CC=C(S1)C(=O)N[C@@H](CCC(O)=O)C(O)=O
DB00294,DB00294,approved; investigational,Etonogestrel,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC(=C)[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H]
DB00295,DB00295,approved; investigational,Morphine,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O
DB00296,DB00296,approved,Ropivacaine,CCCN1CCCC[C@H]1C(=O)NC1=C(C)C=CC=C1C
DB00297,DB00297,approved; investigational,Bupivacaine,CCCCN1CCCCC1C(=O)NC1=C(C)C=CC=C1C
DB00298,DB00298,approved,Dapiprazole,CC1=CC=CC=C1N1CCN(CCC2=NN=C3CCCCN23)CC1
DB00299,DB00299,approved,Penciclovir,NC1=NC(=O)C2=C(N1)N(CCC(CO)CO)C=N2
DB00301,DB00301,approved; investigational,Flucloxacillin,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C1=C(C)ON=C1C1=C(Cl)C=CC=C1F)C(O)=O
DB00303,DB00303,approved; investigational,Ertapenem,[H][C@]12[C@@H](C)C(S[C@]3([H])CN[C@@]([H])(C3)C(=O)NC3=CC=CC(=C3)C(O)=O)=C(N1C(=O)[C@]2([H])[C@@H](C)O)C(O)=O
DB00304,DB00304,approved,Desogestrel,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC(=C)[C@]1([H])[C@@]3([H])CCCC=C3CC[C@@]21[H]
DB00305,DB00305,approved,Mitomycin,[H][C@]12CN3C4=C([C@@H](COC(N)=O)[C@@]3(OC)[C@@]1([H])N2)C(=O)C(N)=C(C)C4=O
DB00306,DB00306,approved; illicit,Talbutal,CCC(C)C1(CC=C)C(=O)NC(=O)NC1=O
DB00307,DB00307,approved; investigational,Bexarotene,CC1=CC2=C(C=C1C(=C)C1=CC=C(C=C1)C(O)=O)C(C)(C)CCC2(C)C
DB00308,DB00308,approved,Ibutilide,CCCCCCCN(CC)CCCC(O)C1=CC=C(NS(C)(=O)=O)C=C1
DB00310,DB00310,approved,Chlorthalidone,NS(=O)(=O)C1=C(Cl)C=CC(=C1)C1(O)NC(=O)C2=CC=CC=C12
DB00311,DB00311,withdrawn,Ethoxzolamide,CCOC1=CC2=C(C=C1)N=C(S2)S(N)(=O)=O
DB00312,DB00312,approved; investigational; vet_approved,Pentobarbital,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O
DB00313,DB00313,approved; investigational,Valproic acid,CCCC(CCC)C(O)=O
DB00315,DB00315,approved; investigational,Zolmitriptan,CN(C)CCC1=CNC2=CC=C(C[C@H]3COC(=O)N3)C=C12
DB00316,DB00316,approved,Acetaminophen,CC(=O)NC1=CC=C(O)C=C1
DB00317,DB00317,approved; investigational,Gefitinib,COC1=C(OCCCN2CCOCC2)C=C2C(NC3=CC(Cl)=C(F)C=C3)=NC=NC2=C1
DB00318,DB00318,approved; illicit,Codeine,[H][C@]12C=C[C@H](O)[C@@H]3OC4=C5C(C[C@H]1N(C)CC[C@@]235)=CC=C4OC
DB00319,DB00319,approved,Piperacillin,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](NC(=O)N1CCN(CC)C(=O)C1=O)C1=CC=CC=C1)C(O)=O
DB00320,DB00320,approved; investigational,Dihydroergotamine,[H][C@@]12CCCN1C(=O)[C@H](CC1=CC=CC=C1)N1C(=O)[C@](C)(NC(=O)[C@H]3CN(C)[C@]4([H])CC5=CNC6=CC=CC(=C56)[C@@]4([H])C3)O[C@@]21O
DB00321,DB00321,approved,Amitriptyline,CN(C)CCC=C1C2=CC=CC=C2CCC2=CC=CC=C12
DB00322,DB00322,approved,Floxuridine,OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(F)C(=O)NC1=O
DB00323,DB00323,approved; withdrawn,Tolcapone,CC1=CC=C(C=C1)C(=O)C1=CC(=C(O)C(O)=C1)[N+]([O-])=O
DB00324,DB00324,approved; investigational,Fluorometholone,[H][C@@]12CC[C@](O)(C(C)=O)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](C)C2=CC(=O)C=C[C@]12C
DB00327,DB00327,approved; illicit,Hydromorphone,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])CCC2=O
DB00328,DB00328,approved; investigational,Indomethacin,COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(O)=O
DB00330,DB00330,approved,Ethambutol,CC[C@@H](CO)NCCN[C@@H](CC)CO
DB00331,DB00331,approved,Metformin,CN(C)C(=N)NC(N)=N
DB00333,DB00333,approved,Methadone,CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1
